Day,Hour,OccupancyPercent
Su,6,0
Su,7,0
Su,8,0
Su,9,0
Su,10,30
Su,11,49
Su,12,62
Su,13,70
Su,14,70
Su,15,68
Su,16,68
Su,17,79
Su,18,86
Su,19,87
Su,20,65
Su,21,37
Su,22,0
Su,23,0
Mo,6,0
Mo,7,0
Mo,8,0
Mo,9,0
Mo,10,26
Mo,11,38
Mo,12,48
Mo,13,51
Mo,14,49
Mo,15,48
Mo,16,55
Mo,17,61
Mo,18,66
Mo,19,62
Mo,20,47
Mo,21,27
Mo,22,0
Mo,23,0
Tu,6,0
Tu,7,0
Tu,8,0
Tu,9,0
Tu,10,29
Tu,11,45
Tu,12,59
Tu,13,59
Tu,14,50
Tu,15,41
Tu,16,43
Tu,17,50
Tu,18,60
Tu,19,59
Tu,20,49
Tu,21,27
Tu,22,0
Tu,23,0
We,6,0
We,7,0
We,8,0
We,9,0
We,10,28
We,11,48
We,12,65
We,13,67
We,14,59
We,15,52
We,16,54
We,17,64
We,18,73
We,19,70
We,20,55
We,21,32
We,22,0
We,23,0
Th,6,0
Th,7,0
Th,8,0
Th,9,0
Th,10,32
Th,11,55
Th,12,76
Th,13,82
Th,14,72
Th,15,63
Th,16,63
Th,17,69
Th,18,78
Th,19,80
Th,20,69
Th,21,43
Th,22,0
Th,23,0
Fr,6,0
Fr,7,0
Fr,8,0
Fr,9,0
Fr,10,34
Fr,11,53
Fr,12,69
Fr,13,74
Fr,14,72
Fr,15,68
Fr,16,73
Fr,17,82
Fr,18,94
Fr,19,92
Fr,20,77
Fr,21,49
Fr,22,0
Fr,23,0
Sa,6,0
Sa,7,0
Sa,8,0
Sa,9,0
Sa,10,32
Sa,11,49
Sa,12,63
Sa,13,69
Sa,14,67
Sa,15,62
Sa,16,67
Sa,17,80
Sa,18,94
Sa,19,100
Sa,20,83
Sa,21,59
Sa,22,0
Sa,23,0
